aa,kepCode,kepTitle,area,county,region,address,tk,phoneNumber,fax,email,comments
11,11,ΚΕΠ ΔΗΜΟΥ ΡΟΔΟΥ ΜΕ ΤΡΙΑ ΠΑΡΑΡΤΗΜΑΤΑ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΜΕΣΑΙΩΝΙΚΗ ΠΟΛΗ ΡΟΔΟΥ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΣΥΜΜΙΟΥ 12,85100,2241043707,2241043973,d.rodou@kep.gov.gr,
12,12,ΚΕΠ ΔΗΜΟΥ ΑΡΧΑΓΓΕΛΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,Αρχάγγελος Δωδεκανήσου,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,"Πλατεία Δημαρχείου, Αρχάγγελος",85102,2244029180,2244029182,d.arhaggelou@kep.gov.gr,
13,13,ΚΕΠ ΔΗΜΟΥ ΑΣΤΥΠΑΛΑΙΑΣ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Χώρα,85900,2243059850,2243059850,d.astypalaias@kep.gov.gr,
14,14,ΚΕΠ ΔΗΜΟΥ ΑΦΑΝΤΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,"Ρόδος, Δωδεκάνησα",ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,25η Μαρτίου 24,85103,2241053303,2241053307,d.afantou@kep.gov.gr,
15,15,ΚΕΠ ΔΗΜΟΥ ΚΑΜΕΙΡΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,Παραδείσι - Ρόδου,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,"24η Ιούλη, Σορωνή",85106,2241042344,2241042343,d.kameirou@kep.gov.gr,
16,16,ΚΕΠ ΔΗΜΟΥ ΙΑΛΥΣΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΙΑΛΥΣΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΛΑΤΕΙΑ ΑΠΟΣΤΟΛΙΔΗ,85101,2241098305,2241098306,d.ialisou@kep.gov.gr,
17,17,ΚΕΠ ΔΗΜΟΥ ΠΕΤΑΛΟΥΔΩΝ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΚΡΕΜΑΣΤΗ ΡΟΔΟΥ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΩΦΟΡΟΣ ΕΛΕΥΘΕΡΙΑΣ 51,85104,2241096644,2241096643,d.petaloudon@kep.gov.gr,
18,18,ΚΕΠ ΔΗΜΟΥ ΚΑΛΛΙΘΕΑΣ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Καλυθιές,85105,2241085892 2241085842 2241085821,2241085225,d.kallitheas-dodekanisou@kep.gov.gr,
19,19,ΚΕΠ ΔΗΜΟΥ ΗΡΑΚΛΕΙΔΩΝ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,Δωδεκάνησος,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Αντιμάχεια - Κω,85302,2242049289,2242049264,d.irakleidon@kep.gov.gr,
20,20,ΚΕΠ ΔΗΜΟΥ ΚΑΡΠΑΘΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΠΗΓΑΔΙΑ ΚΑΡΠΑΘΟΥ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΗΓΑΔΙΑ ΚΑΡΠΑΘΟΥ -,85700,2245029002,2245029004,d.karpathou@kep.gov.gr,
21,21,ΚΕΠ ΔΗΜΟΥ ΚΑΣΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,"Κάσος, Δωδεκάνησα",ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Φρύ,85800,2245041865,2245041864,d.kasou@kep.gov.gr,
22,22,ΚΕΠ ΔΗΜΟΥ ΛΕΙΨΩΝ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,Λειψοί - Δωδεκάνησα,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Λειψοί,85001,2247028970,2247028999,d.leipson@kep.gov.gr,
23,23,ΚΕΠ ΔΗΜΟΥ ΛΕΡΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,Λέρος Δωδεκάνησα,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Πλάτανος Λέρου,85400,2247023400,2247023241,d.lerou@kep.gov.gr,
24,24,ΚΕΠ ΔΗΜΟΥ ΜΕΓΙΣΤΗΣ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,Μεγίστη Καστελλόριζο,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Μεγίστη Καστελλόριζο,85111,2246070670,2246070670,d.megistis@kep.gov.gr,
25,25,ΚΕΠ ΔΗΜΟΥ ΝΙΣΥΡΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,Νίσυρος Δωδεκανήσου,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Μανδράκι Νίσυρος,85303,2242048746,2242031198,d.nisyrou@kep.gov.gr,
26,26,ΚΕΠ ΔΗΜΟΥ ΝΟΤΙΑΣ ΡΟΔΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Γενναδίου,85109,2244029110,2244043143,d.notiasrodou@kep.gov.gr,
27,27,ΚΕΠ ΔΗΜΟΥ ΛΙΝΔΙΩΝ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,-,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Δ.Δ.Λάρδου -,85109,2244044251,2244044250,d.lindion@kep.gov.gr,
28,28,ΚΕΠ ΔΗΜΟΥ ΠΑΤΜΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,-,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Σκάλα Πάτμου,85500,2247031158,2247033206,d.patmou@kep.gov.gr,
29,29,ΚΕΠ ΔΗΜΟΥ ΣΥΜΗΣ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΣΥΜΗΣ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΓΙΑΛΟΣ,85600,2246072568,2246071386,d.symis@kep.gov.gr,
30,30,ΚΕΠ ΔΗΜΟΥ ΤΗΛΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,Δωδεκάνησα,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Μ. Χωριό,85002,2246070893,2246070893,d.tilou@kep.gov.gr,
31,31,ΚΕΠ ΔΗΜΟΥ ΧΑΛΚΗΣ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΧΑΛΚΗ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΧΑΛΚΗ ΔΩΔΕΚΑΝΗΣΟΥ,85110,2246070900,2246070900,d.halkis@kep.gov.gr,
32,32,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΑΓΑΘΟΝΗΣΙΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Αγαθονήσι,85001,2247029204,2247029204,k.agathonisiou@kep.gov.gr,
33,33,ΚΕΠ ΚΟΙΝΟΤΗΤΑ ΟΛΥΜΠΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΟΛΥΜΠΟΣ ΚΑΡΠΑΘΟΥ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΟΛΥΜΠΟΣ ΚΑΡΠΑΘΟΥ,85700,2245051055,2245051055,k.olympou@kep.gov.gr,
34,34,ΚΕΠ ΔΗΜΟΥ ΑΜΟΡΓΟΥ Ν. ΚΥΚΛΑΔΩΝ,Αμοργός,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Χώρα Αμοργού,84008,2285074100,2285029307,d.amorgou@kep.gov.gr,
35,35,ΚΕΠ ΔΗΜΟΥ ΑΝΔΡΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΧΩΡΑ Άνδρου Κυκλάδων,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Χώρα ΑΝΔΡΟΥ,84500,2282029003,2282029002,d.androu@kep.gov.gr,
36,36,ΚΕΠ ΚΟΙΝΟΤΗΤΑ ΑΝΤΙΠΑΡΟΥ Ν. ΚΥΚΛΑΔΩΝ,Αντίπαρος Κυκλάδων,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Αντίπαρος,84007,2284028314,2284028315,k.antiparou@kep.gov.gr,
37,37,ΚΕΠ ΔΗΜΟΥ ΑΝΩ ΣΥΡΟΥ Ν. ΚΥΚΛΑΔΩΝ,Σύρος Κυκλάδων,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Εργατικές Κατοικίες-Μεσσαριά Πάγος,84100,2281079487,2281079487,d.anosyrou@kep.gov.gr,
38,38,ΚΕΠ ΔΗΜΟΥ ΔΡΥΜΑΛΙΑΣ Ν. ΚΥΚΛΑΔΩΝ,Νάξος Κυκλάδων,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Φιλώτι Νάξος,84302,2285029315,2285029316,d.drymalias@kep.gov.gr,
39,39,ΚΕΠ ΔΗΜΟΥ ΕΞΩΜΒΟΥΡΓΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΞΙΝΑΡΑ ΤHΝΟΥ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΞΙΝΑΡΑ ΤHΝΟΥ,84200,2283051801,2283051802,d.exomvourgou@kep.gov.gr,
40,40,ΚΕΠ ΔΗΜΟΥ ΘΗΡΑΣ Ν. ΚΥΚΛΑΔΩΝ,Σαντορίνη,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Φηρά,84700,2286027155,2286027156,d.thiras@kep.gov.gr,
41,41,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΟΙΑΣ ΜΕ ΕΝΑ ΠΑΡΑΡΤΗΜΑ Ν. ΚΥΚΛΑΔΩΝ,Οία Θήρας,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Οία Θήρας,84702,2286071960,2286027161,k.oias@kep.gov.gr,
42,42,ΚΕΠ ΔΗΜΟΥ ΙΗΤΩΝ Ν. ΚΥΚΛΑΔΩΝ,Ίος Κυκλάδων,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Ίος Κυκλάδες,84001,2286091937,2286091937,d.iiton@kep.gov.gr,
43,43,ΚΕΠ ΔΗΜΟΥ ΚΕΑΣ (ΙΟΥΛΙΔΟΣ) Ν. ΚΥΚΛΑΔΩΝ,Κέα,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Ιουλίδα,84002,2288021150,2288021150,d.keas@kep.gov.gr,
44,44,ΚΕΠ ΔΗΜΟΥ ΚΟΡΘΙΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΚΟΡΘΙ -ΑΝΔΡΟΣ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΟΡΘΙ -ΑΝΔΡΟΣ,84502,2282061219,2282061419,d.korthiou@kep.gov.gr,
45,45,ΚΕΠ ΔΗΜΟΥ ΜΗΛΟΥ Ν. ΚΥΚΛΑΔΩΝ,Μήλος Κυκλάδων,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Πλάκα,84800,2287022894,2287023374,d.milou@kep.gov.gr,
46,46,ΚΕΠ ΔΗΜΟΥ ΝΑΞΟΥ Ν. ΚΥΚΛΑΔΩΝ,Ερμούπολη,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Νέο Δημαρχείο,84300,2285037130,2285029328,d.naxou@kep.gov.gr,
47,47,ΚΕΠ ΔΗΜΟΥ ΠΟΣΕΙΔΩΝΙΑΣ ΣΥΡΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΒΑΡΗ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΒΑΡΗ (ΠΡΩΗΝ ΚΟΙΝΟΤΙΚΟ ΓΡΑΦΕΙΟ),84100,2281079484,2281079485,d.poseidonias@kep.gov.gr,
48,48,ΚΕΠ ΔΗΜΟΥ ΣΕΡΙΦΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΚΕΠ ΔΗΜΟΥ ΣΕΡΙΦΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Χώρα,84005,2281052545,2281052546,d.serifou@kep.gov.gr,
49,49,ΚΕΠ ΔΗΜΟΥ ΣΙΦΝΟΥ Ν. ΚΥΚΛΑΔΩΝ,-,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Αρτεμώνας,84003,2284033880,2284033881,d.sifnou@kep.gov.gr,
50,50,ΚΕΠ ΔΗΜΟΥ ΤΗΝΟΥ Ν. ΚΥΚΛΑΔΩΝ,Τήνος Κυκλάδων,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Ευαγγελιστρίας 38,84200,2283029146,2283029156,d.tinou@kep.gov.gr,
51,51,ΚΕΠ ΔΗΜΟΥ ΥΔΡΟΥΣΑΣ Ν. ΚΥΚΛΑΔΩΝ,"Παραλία Μπατσίου, Άνδρος",ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,"Παραλία Μπατσίου, Άνδρος -",1,2282041848,2282029269,d.ydrousas@kep.gov.gr,
52,52,ΚΕΠ ΚΟΙΝΟΤΗΤΑ ΗΡΑΚΛΕΙΑΣ Ν. ΚΥΚΛΑΔΩΝ,Ηρακλειά,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Ηρακλειά,84300,2285074183,2285071545,k.irakleias@kep.gov.gr,
53,53,ΚΕΠ ΔΗΜΟΥ ΕΡΜΟΥΠΟΛΕΩΣ Ν. ΚΥΚΛΑΔΩΝ,ΕΡΜΟΥΠΟΛΗ-ΣΥΡΟΣ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Ν. ΜΑΝΔΗΛΑΡΑ 31,84100,2281079643,2281079648,d.ermoupoleos@kep.gov.gr,
54,54,ΚΕΠ ΔΗΜΟΥ ΚΥΘΝΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΚΥΘΝΟΣ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΥΘΝΟΣ,84006,2281031640,2281031645,d.kithnou@kep.gov.gr,
55,55,ΚΕΠ ΔΗΜΟΥ ΚΑΛΥΜΝΙΩΝ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΚΑΛΥΜΝΟΣ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΑΝΑΓΙΑ ΧΩΡΑΣ,85200,2243029767,2243059024,d.kalymnion@kep.gov.gr,
56,56,ΚΕΠ ΔΗΜΟΥ ΚΩ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΚΩΣ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΑΚΤΗ ΚΟΥΝΤΟΥΡΙΩΤΗ 7,85300,2242025670,2242027190,d.ko@kep.gov.gr,
57,57,ΚΕΠ ΔΗΜΟΥ ΑΤΑΒΥΡΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΕΜΠΩΝΑΣ ΡΟΔΟΥ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΕΜΠΩΝΑΣ ΡΟΔΟΥ,1,2246041590,2246041572,d.attavirou@kep.gov.gr,
58,58,ΚΕΠ ΔΗΜΟΥ ΔΙΚΑΙΟΥ Ν. ΔΩΔΕΚΑΝΗΣΟΥ,ΠΥΛΙ ΚΩΣ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΥΛΙ ΚΩΣ,85300,2242041821,2242041814,d.dikaiou@kep.gov.gr,
59,59,ΚΕΠ ΔΗΜΟΥ ΜΥΚΟΝΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΧΩΡΑ ΜΥΚΟΝΟΥ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,"ΛΙΜΝΗ, ΧΩΡΑ ΜΥΚΟΝΟΥ",84600,2289028621,2289028638,d.mykonou@kep.gov.gr,
60,60,ΚΕΠ ΔΗΜΟΥ ΠΑΡΟΥ Ν. ΚΥΚΛΑΔΩΝ,Παροικιά Πάρου,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Δήμος Πάρου Παροικιά,84400,2284024912,2284024752,d.parou@kep.gov.gr,
61,61,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΑΝΑΦΗΣ Ν. ΚΥΚΛΑΔΩΝ,Ανάφη Κυκλάδων,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Ανάφη Κυκλάδες,84009,2286061390,2286061396,k.anafis@kep.gov.gr,
62,62,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΔΟΝΟΥΣΑΣ Ν. ΚΥΚΛΑΔΩΝ,ΚΟΙΝΟΤΗΤΑΣ ΔΟΝΟΥΣΑΣ Ν. ΚΥΚΛΑΔΩΝ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΔΟΝΟΥΣΑ,84300,2285029107,2285051639,k.donousis@kep.gov.gr,
63,63,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΚΙΜΩΛΟΥ Ν. ΚΥΚΛΑΔΩΝ,ΚΙΜΩΛΟΣ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΙΜΩΛΟΣ -,84004,2287051230,2287051555,k.kimolou@kep.gov.gr,
64,64,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΚΟΥΦΟΝΗΣΙΩΝ Ν. ΚΥΚΛΑΔΩΝ,ΚΟΥΦΟΝΗΣΙΑ-ΚΥΚΛΑΔΕΣ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΟΥΦΟΝΗΣΙΑ-ΚΥΚΛΑΔΕΣ,84300,2285029243,2285074188,k.koufonision@kep.gov.gr,
65,65,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΠΑΝΟΡΜΟΥ Ν. ΚΥΚΛΑΔΩΝ,-,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Πύργος,84201,2283031302,2283031325,k.panormou@kep.gov.gr,
66,66,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΣΙΚΙΝΟΥ Ν. ΚΥΚΛΑΔΩΝ,"Σίκινος, Κυκλάδες",ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Σίκινος,84010,2286051196,2286051074,k.sikinou@kep.gov.gr,
67,67,ΚΕΠ ΚΟΙΝΟΤΗΤΑΣ ΣΧΟΙΝΟΥΣΣΑΣ Ν. ΚΥΚΛΑΔΩΝ,Σχοινούσα,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,Σχοινούσα -,84300,2285074250,2285074250,k.shoinoussis@kep.gov.gr,
